title,genres
A Blank on the Map (1971),Documentary
A Bright Shining Lie (1998),Drama|War
A Chairy Tale (1957),Animation|Comedy|Fantasy
A Chinese in a Coma (2000),Comedy
A Christmas Kiss (2011),Romance
A Cinderella Story: Once Upon a Song (2011),Children|Comedy|Romance
A Coming-Out Party (1961),Comedy|Drama
A Connecticut Yankee in King Arthur's Court (1989),Adventure|Children|Comedy|Fantasy
A Cry in the Wild (1990),Action|Adventure|Thriller
A Fight For (2014),(no genres listed)
A Flintstones Christmas Carol (1994),Animation|Children|Comedy
A Follower for Emily (1974),Drama
A Fugitive from the Past (1965),Crime|Drama|Mystery
A Gathering of Eagles (1963),Drama|Romance
A Girl Walks Home Alone at Night (2014),Horror|Romance|Thriller
A Good Marriage (2014),Thriller
A Grain of Truth (2015),Thriller
A Gun for Jennifer (1997),Crime|Drama|Thriller
A Home at the End of the World (2004),Drama|Romance
A House of Secrets: Exploring 'Dragonwyck' (2008),Documentary
A Husband of Round Trip (1957),Comedy|Fantasy
A Justified Life: Sam Peckinpah and the High Country (2006),Documentary
A Kind of America 2 (2008),Comedy
A Lesson Before Dying (1999),Drama
A Life in Dirty Movies (2013),Documentary
A mí las mujeres ni fu ni fa (1971),Comedy|Musical
A Magnificent Haunting (2012),Drama
A Man Called Magnum (1977),Action|Crime
A Master Builder (2013),Drama
A Matador's Mistress (2008),Drama|Romance
A Matter of Size (2009),Comedy|Drama|Romance
A Merry Friggin' Christmas (2014),Comedy
A Most Violent Year (2014),Action|Crime|Drama|Thriller
A Mulher Invisível (2009),Comedy
A Night at the Movies: The Horrors of Stephen King (2011),Documentary|Horror
A Night at the Movies: The Suspenseful World of Thrillers (2009),Documentary
A Night for Dying Tigers (2010),Drama
A Night in the Show (1915),Comedy
A One-Way Trip to Antibes (2011),Drama
A Patriotic Man (2013),Comedy|Drama
A Phantasy (1952),Animation
A Pigeon Sat on a Branch Reflecting on Existence (2014),Comedy|Drama
A Pistol For Ringo (1965),Action|Drama|Western
A Promise (2013),Drama|Romance
A Rumor Of War (1980),(no genres listed)
A Run for Your Money (1949),Comedy
A Second Chance (2014),Drama
A Short History of Decay (2014),Comedy
A Smoky Mountain Christmas (1986),Fantasy
A Spell to Ward Off the Darkness (2013),Documentary
A Star Athlete (1937),Comedy|Drama
A Story of Children and Film (2013),Documentary
A Summer in La Goulette (1996),Comedy|Drama
A Summer in St. Tropez (1983),Drama|Romance
A Thousand Times Goodnight (2014),Drama
A True Mob Story (1998),(no genres listed)
A Via Láctea (2007),Drama
A Viking Saga: The Darkest Day (2013),Action|Adventure|Thriller
A Walk in the Old City of Warsaw (1958),Documentary
A Walk in the Woods (2015),Adventure|Comedy|Drama
A Year Along the Abandoned Road,(no genres listed)
A.C.O.D. (2013),Comedy
A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
A.K. (1985),Documentary
A.K.A. Don Bonus (1995),Documentary
a/k/a Tommy Chong (2005),Documentary
"¡Alambrista! (Illegal, The) (1977)",Drama
¡Qué hacer! (1970),Drama
¡Three Amigos! (1986),Comedy|Western
À l'aventure (2008),Drama
À nos amours (1983),Drama|Romance
À nous la liberté (Freedom for Us) (1931),Comedy|Musical
À propos de Nice (1930),Documentary
Åsa-Nisse - Wälkom to Knohult (2011),Comedy
Árido Movie (2005),Drama
Aaja Nachle (2007),Comedy|Musical|Romance
Aakrosh (2010),Action|Drama|Thriller
Aaltra (2004),Comedy|Drama
Aamir (2008),Drama|Thriller
Aankhen (2002),Comedy|Crime|Thriller
Aaron Loves Angela (1975),Comedy|Drama|Romance|Thriller
Aashiqui 2 (2013),Drama|Musical|Romance
Abandon (2002),Drama|Thriller
Abandon Ship! (Seven Waves Away) (1957),Adventure|Drama
Abandoned (2010),Drama|Mystery|Thriller
"Abandoned, The (2006)",Horror|Mystery|Thriller
ABBA: The Movie (1977),Musical
Abbott and Costello Go to Mars (1953),Comedy|Sci-Fi
Abbott and Costello in Hollywood (1945),Comedy
Abbott and Costello in the Foreign Legion (1950),Adventure|Comedy
Abbott and Costello Meet Captain Kidd (1952),Adventure|Comedy|Musical
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde (1953),Comedy|Horror|Sci-Fi
Abbott and Costello Meet Frankenstein (1948),Comedy|Horror
Abbott and Costello Meet the Invisible Man (1951),Comedy|Sci-Fi
Abbott and Costello Meet the Keystone Kops (1955),Comedy
"Abbott and Costello Meet the Killer, Boris Karloff (1949)",Comedy|Mystery|Thriller
Abbott and Costello Meet the Mummy (1955),Comedy|Horror
ABC Africa (2001),Documentary
"ABCs of Death, The (2012)",Horror
Abduction (2011),Action|Drama|Mystery|Thriller
Abe Lincoln in Illinois (1940),Drama
Abelar: Tales of an Ancient Empire (Tales of an Ancient Empire) (2010),Fantasy
Abendland (2011),Documentary
Aberdeen (2000),Drama
Abigail's Party (1977),Drama
Abols Upe (1974),Drama
Abominable (2006),Horror
"Abominable Dr. Phibes, The (1971)",Horror|Mystery
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",Horror|Sci-Fi
Abouna (2002),Drama
About a Boy (2002),Comedy|Drama|Romance
About Adam (2000),Comedy
About Alex (2014),Drama
About Cherry (2012),Drama
About Elly (Darbareye Elly) (2009),Drama|Mystery
About Face: Supermodels Then and Now (2012),Comedy|Documentary
About Last Night (2014),Comedy|Romance
About Last Night... (1986),Comedy|Drama|Romance
About Schmidt (2002),Comedy|Drama
About Time (2013),Drama|Fantasy|Romance
Above and Beyond (1952),Action|Drama
Above Suspicion (1943),Drama|Thriller
Above Suspicion (1995),Thriller
Above the Law (1988),Action|Crime|Drama
Above the Rim (1994),Crime|Drama
"Above the Street, Below the Water (Over gaden under vandet) (2009)",Drama
Above Us Only Sky (2011),Drama
Abraham (1993),Adventure|Drama
Abraham Lincoln (1930),Drama|War
Abraham Lincoln: Vampire Hunter (2012),Action|Fantasy|Horror|Thriller
Abraham's Valley (Vale Abraão) (1993),Drama
Absence of Malice (1981),Drama|Romance
Absent (Ausente) (2011),Drama|Thriller
Absentia (2011),Horror
"Absent-Minded Professor, The (1961)",Children|Comedy|Fantasy
Absolon (2003),Action|Sci-Fi|Thriller
Absolute Aggression (2004),Action|Sci-Fi|Thriller
Absolute Beginners (1986),Musical
Absolute Giganten (1999),Action|Comedy|Drama|Romance
Absolute Power (1997),Mystery|Thriller
Absurdistan (2008),Comedy|Romance
"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
Acacia (2003),Horror
"Acacias, Las (2011)",Drama
"Acadia Acadia?!? (L'acadie, l'Acadie) (1971)",Documentary
"Acapulco, First Beach... To the Left (1983)",Comedy
Accattone (1961),Drama
Accepted (2006),Comedy
Accident (1967),Crime|Drama
Accident (Yi ngoi) (2009),Thriller
Accident on Hill Road (2010),Crime|Drama|Thriller
"Accidental Golfer, The (Den ofrivillige golfaren) (1991)",Comedy
"Accidental Husband, The (2009)",Comedy|Romance
"Accidental Spy, The (Dak miu mai shing) (2001)",Action|Comedy|Thriller
"Accidental Tourist, The (1988)",Comedy|Drama|Romance
Accidents Happen (2009),Comedy|Drama
Accomplices (Complices) (2009),Crime|Mystery
According to Greta (2009),Drama|Romance
According to Spencer (2001),Comedy|Drama|Romance
Accused (Anklaget) (2005),Drama
"Accused, The (1988)",Drama
Ace Attorney (Gyakuten saiban) (2012),Comedy|Crime|Drama
"Ace High (Quattro dell'Ave Maria, I) (1968)",Comedy|Western
"Ace in the Hole (Big Carnival, The) (1951)",Drama
"Ace of Aces (a.k.a. Super Ace, The) (As des as, L') (1982)",Adventure|Comedy
Ace of Hearts (2008),Children|Drama
"Ace of Hearts, The (1921)",Crime|Drama|Romance
Ace Ventura: Pet Detective (1994),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Aces and Eights (1936),Western
Aces High (1976),Action|Drama|War
Aces 'N' Eights (2008),Action|Adventure|Drama|Romance|Western
Aces: Iron Eagle III (1992),Action
Achilles and the Tortoise (Akiresu to kame) (2008),Comedy
"Acid House, The (1998)",Comedy|Drama
"Acla, The Descent into Floristella (La discesa di Aclà a Floristella) (1992)",Drama
Across 110th Street (1972),Crime
Across the Bridge (1957),Crime|Drama|Thriller
Across the Hall (2009),Thriller
Across the Line: The Exodus of Charlie Wright (2010),Crime|Drama
Across the Pacific (1942),Action|Adventure|Romance|War
Across the Sea of Time (1995),Documentary|IMAX
Across the Tracks (1991),Drama
Across the Universe (2007),Drama|Fantasy|Musical|Romance
